equation_id,equation_definition_id,target_variable,scope_type,scope_value,dependencies,dependency_scopes,producer_ids,execution_order,status,executable,gap_id
EQ11010@linha:L7,EQ11010,producao_base_ppt_base,linha,L7,EQ11007@linha:L7; EQ11008@linha:L7,VAR11080; VAR11081,EQ11007@linha:L7; EQ11008@linha:L7,118,PUBLISHED,YES,
EQ11013@linha_grupo:L1_L3,EQ11013,eoc_temp,linha_grupo,L1_L3,EQ11002@linha:L1; EQ11002@linha:L2; EQ11002@linha:L3,VAR11002@L1; VAR11002@L2; VAR11002@L3; VAR11013@L1; VAR11013@L2; VAR11013@L3,EQ11002@linha:L1; EQ11002@linha:L2; EQ11002@linha:L3,119,PUBLISHED,YES,
EQ11014@linha_grupo:L1_L3,EQ11014,ltp,linha_grupo,L1_L3,EQ11002@linha:L1; EQ11002@linha:L2; EQ11002@linha:L3,VAR11002@L1; VAR11002@L2; VAR11002@L3,EQ11002@linha:L1; EQ11002@linha:L2; EQ11002@linha:L3,120,PUBLISHED,YES,
EQ11023@linha_grupo:L1_L3,EQ11023,ssa_media,linha_grupo,L1_L3,EQ11003@linha:L1; EQ11003@linha:L2; EQ11003@linha:L3,VAR11011@L1; VAR11011@L2; VAR11011@L3,EQ11003@linha:L1; EQ11003@linha:L2; EQ11003@linha:L3,121,PUBLISHED,YES,
EQ11024@linha_grupo:L1_L3,EQ11024,n_ppt,linha_grupo,L1_L3,EQ11004@linha:L1; EQ11004@linha:L2; EQ11004@linha:L3,VAR11012@L1; VAR11012@L2; VAR11012@L3,EQ11004@linha:L1; EQ11004@linha:L2; EQ11004@linha:L3,122,PUBLISHED,YES,
EQ11029@linha_grupo:L4_L5,EQ11029,eoc_temp,linha_grupo,L4_L5,EQ11002@linha:L4; EQ11002@linha:L5,VAR11002@L4; VAR11002@L5; VAR11013@L4; VAR11013@L5,EQ11002@linha:L4; EQ11002@linha:L5,123,PUBLISHED,YES,
EQ11030@linha_grupo:L4_L5,EQ11030,ltp,linha_grupo,L4_L5,EQ11002@linha:L4; EQ11002@linha:L5,VAR11002@L4; VAR11002@L5,EQ11002@linha:L4; EQ11002@linha:L5,124,PUBLISHED,YES,
EQ11039@linha_grupo:L4_L5,EQ11039,ssa_media,linha_grupo,L4_L5,EQ11003@linha:L4; EQ11003@linha:L5,VAR11011@L4; VAR11011@L5,EQ11003@linha:L4; EQ11003@linha:L5,125,PUBLISHED,YES,
EQ11040@linha_grupo:L4_L5,EQ11040,n_ppt,linha_grupo,L4_L5,EQ11004@linha:L4; EQ11004@linha:L5,VAR11012@L4; VAR11012@L5,EQ11004@linha:L4; EQ11004@linha:L5,126,PUBLISHED,YES,
EQ11045@linha_grupo:L6_L7,EQ11045,eoc_temp,linha_grupo,L6_L7,EQ11002@linha:L6; EQ11002@linha:L7,VAR11002@L6; VAR11002@L7; VAR11013@L6; VAR11013@L7,EQ11002@linha:L6; EQ11002@linha:L7,127,PUBLISHED,YES,
EQ11046@linha_grupo:L6_L7,EQ11046,ltp,linha_grupo,L6_L7,EQ11002@linha:L6; EQ11002@linha:L7,VAR11002@L6; VAR11002@L7,EQ11002@linha:L6; EQ11002@linha:L7,128,PUBLISHED,YES,
EQ11055@linha_grupo:L6_L7,EQ11055,ssa_media,linha_grupo,L6_L7,EQ11003@linha:L6; EQ11003@linha:L7,VAR11011@L6; VAR11011@L7,EQ11003@linha:L6; EQ11003@linha:L7,129,PUBLISHED,YES,
EQ11056@linha_grupo:L6_L7,EQ11056,n_ppt,linha_grupo,L6_L7,EQ11004@linha:L6; EQ11004@linha:L7,VAR11012@L6; VAR11012@L7,EQ11004@linha:L6; EQ11004@linha:L7,130,PUBLISHED,YES,
EQ11059@linha_grupo:L1_L3,EQ11059,yield_base,linha_grupo,L1_L3,EQ11007@linha:L1; EQ11007@linha:L2; EQ11007@linha:L3; EQ11008@linha:L1; EQ11008@linha:L2; EQ11008@linha:L3,VAR11080@L1; VAR11080@L2; VAR11080@L3; VAR11081@L1; VAR11081@L2; VAR11081@L3,EQ11007@linha:L1; EQ11007@linha:L2; EQ11007@linha:L3; EQ11008@linha:L1; EQ11008@linha:L2; EQ11008@linha:L3,131,PUBLISHED,YES,
EQ11060@linha_grupo:L1_L3,EQ11060,ltp_base,linha_grupo,L1_L3,EQ11008@linha:L1; EQ11008@linha:L2; EQ11008@linha:L3,VAR11081@L1; VAR11081@L2; VAR11081@L3,EQ11008@linha:L1; EQ11008@linha:L2; EQ11008@linha:L3,132,PUBLISHED,YES,
